,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
113,110,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,14.9,21,12,10,10,1,10,20,50.0,10,14,9,5,21,42,65,0,Matches
114,111,Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,73,49,49,19,5,33,68,48.5,35,39,10,29,42,115,108,0,Matches
115,112,Issa Diop,fr FRA,DF,West Ham,22,1997,30.7,27,15,18,9,0,16,25,64.0,9,37,21,16,47,74,166,2,Matches
116,113,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,10.3,27,21,13,9,5,11,21,52.4,10,15,1,14,9,36,9,0,Matches
117,114,Matt Doherty,ie IRL,"MF,DF",Wolves,27,1992,31.5,55,29,34,17,4,27,41,65.9,14,34,4,30,40,95,52,1,Matches
118,115,Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,35.1,64,30,29,29,6,16,57,28.1,41,46,8,38,31,95,32,0,Matches
119,116,Thomas Doyle,eng ENG,MF,Manchester City,17,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
120,117,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,5,3,3,2,0,2,18,11.1,16,5,0,5,5,10,5,1,Matches
121,118,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,2,1,1,1,0,0,1,0.0,1,0,0,0,1,3,0,0,Matches
122,119,Josip Drmić,ch SUI,"FW,MF",Norwich City,26,1992,7.2,3,2,1,2,0,0,8,0.0,8,6,0,6,1,4,5,1,Matches
123,120,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,1,1,1,0,0,1,2,50.0,1,2,0,2,1,2,17,5,Matches
124,121,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,8.0,18,11,9,6,3,7,16,43.8,9,10,2,8,6,24,8,0,Matches
125,122,Shane Duffy,ie IRL,DF,Brighton,27,1992,13.8,18,9,14,4,0,6,17,35.3,11,13,7,6,21,39,72,0,Matches
126,123,Paul Dummett,wls WAL,DF,Newcastle Utd,27,1991,13.6,27,17,19,7,1,21,27,77.8,6,23,9,14,23,50,69,0,Matches
127,124,Lewis Dunk,eng ENG,DF,Brighton,27,1991,35.9,40,24,23,17,0,15,34,44.1,19,55,33,22,55,95,125,2,Matches
128,125,Ederson,br BRA,GK,Manchester City,25,1993,34.1,2,2,2,0,0,2,5,40.0,3,0,0,0,3,5,16,6,Matches
129,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
130,126,John Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,44,27,34,10,0,25,45,55.6,20,39,27,12,58,102,171,4,Matches
131,127,Harvey Elliott,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
132,128,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,19,9,10,7,2,10,21,47.6,11,11,5,6,13,32,25,1,Matches
133,129,Björn Engels,be BEL,DF,Aston Villa,24,1994,16.1,11,6,8,2,1,8,13,61.5,5,18,17,1,28,39,86,3,Matches
134,130,Christian Eriksen,dk DEN,MF,Tottenham,27,1992,12.2,19,9,10,8,1,7,24,29.2,17,10,1,9,12,31,16,0,Matches
135,131,Jonny Evans,nir NIR,DF,Leicester City,31,1988,37.6,48,34,33,14,1,28,39,71.8,11,33,18,15,57,105,174,4,Matches
136,132,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,23.5,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,5,3,Matches
137,133,Fabinho,br BRA,MF,Liverpool,25,1993,23.1,62,35,20,35,7,26,67,38.8,41,25,2,23,34,96,19,1,Matches
138,134,Ralf Fährmann,de GER,GK,Norwich City,30,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
139,135,Akin Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
140,136,Kiko Femenía,es ESP,DF,Watford,28,1991,24.9,68,38,49,17,2,43,80,53.8,37,16,2,14,36,104,49,0,Matches
141,137,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,22,12,9,9,4,5,38,13.2,33,6,0,6,11,33,16,0,Matches
142,138,Gedson Fernandes,pt POR,"MF,DF",Tottenham,20,1999,0.8,2,0,2,0,0,0,2,0.0,2,2,0,2,1,3,0,0,Matches
143,139,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,29.1,42,25,30,10,2,23,46,50.0,23,41,28,13,24,66,190,2,Matches
144,140,Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,50,35,32,16,2,29,48,60.4,19,28,16,12,25,75,82,0,Matches
145,141,Roberto Firmino,br BRA,FW,Liverpool,27,1991,33.2,37,19,8,14,15,10,43,23.3,33,34,3,31,7,44,11,1,Matches
146,142,John Fleck,sct SCO,MF,Sheffield Utd,27,1991,28.0,36,25,13,14,9,22,64,34.4,42,25,3,22,24,60,26,0,Matches
147,143,Phil Foden,eng ENG,"MF,FW",Manchester City,19,2000,10.0,14,10,4,6,4,6,19,31.6,13,5,0,5,6,20,2,0,Matches
148,144,Pablo Fornals,es ESP,MF,West Ham,23,1996,24.1,46,28,21,18,7,19,64,29.7,45,35,1,34,25,71,15,0,Matches
149,145,Ben Foster,eng ENG,GK,Watford,36,1983,38.0,1,0,1,0,0,1,3,33.3,2,1,0,1,0,1,16,2,Matches
150,146,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,1,1,0,1,0,1,4,25.0,3,0,0,0,4,5,1,0,Matches
151,147,Dimitri Foulquier,fr FRA,"DF,MF",Watford,26,1993,0.7,1,0,1,0,0,0,0,,0,1,0,1,2,3,2,0,Matches
152,148,Juan Foyth,ar ARG,DF,Tottenham,21,1998,0.8,7,3,5,2,0,3,4,75.0,1,1,0,1,1,8,3,1,Matches
153,149,Simon Francis,eng ENG,DF,Bournemouth,34,1985,10.8,13,9,11,2,0,11,21,52.4,10,17,12,5,20,33,71,0,Matches
154,150,Ryan Fraser,sct SCO,"MF,FW",Bournemouth,25,1994,23.0,12,6,5,5,2,7,22,31.8,15,15,3,12,15,27,24,0,Matches
