,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 32_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
88,86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1186,13.2,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.0,1.3,0.10,0.00,0.10,0.10,0.10,Matches
89,87,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.19,0.00,1.19,1.19,1.19,Matches
90,88,Tom Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,10.8,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,2.1,2.1,0.7,2.8,0.19,0.07,0.26,0.19,0.26,Matches
91,89,Conor Coady,eng ENG,DF,Wolves,26,1993,38,38,3420,38.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.01,0.01,0.00,0.01,Matches
92,90,Séamus Coleman,ie IRL,DF,Everton,30,1988,27,21,1839,20.4,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.9,0.9,1.7,2.7,0.05,0.08,0.13,0.05,0.13,Matches
93,91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,14,1258,14.0,3,1,3,0,0,0,0,0.21,0.07,0.29,0.21,0.29,4.0,4.0,0.5,4.5,0.28,0.04,0.32,0.28,0.32,Matches
94,92,Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,27,14,1352,15.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches
95,93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,28,2428,27.0,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.5,1.2,0.03,0.02,0.04,0.03,0.04,Matches
96,94,Jack Cork,eng ENG,MF,Burnley,30,1989,30,30,2613,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,1.1,3.1,0.07,0.04,0.11,0.07,0.11,Matches
97,95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,31,2727,30.3,3,0,3,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.4,1.4,3.2,4.5,0.05,0.11,0.15,0.05,0.15,Matches
98,96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,3.3,2,0,2,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.2,2.2,0.3,2.5,0.68,0.08,0.76,0.68,0.76,Matches
99,97,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,4,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.39,0.00,0.39,0.39,0.39,Matches
100,98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
101,99,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,1266,14.1,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.4,1.2,0.06,0.03,0.09,0.06,0.09,Matches
102,100,Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,277,3.1,0,1,0,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.3,0.02,0.08,0.10,0.02,0.10,Matches
