,Date,Time,Round,Day,Team,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee,Standard | Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Standard | PK,Standard | PKatt,Expected | xG,Expected | npxG,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG,Performance | SoTA,Performance | GA,Performance | Saves,Performance | Save%,Performance | CS,Performance | PSxG,Performance | PSxG+/-,Penalty Kicks | PKatt,Penalty Kicks | PKA,Penalty Kicks | PKsv,Penalty Kicks | PKm,Launched | Cmp,Launched | Att,Launched | Cmp%,Passes | Att,Passes | Thr,Passes | Launch%,Passes | AvgLen,Goal Kicks | Att,Goal Kicks | Launch%,Goal Kicks | AvgLen,Crosses | Opp,Crosses | Stp,Crosses | Stp%,Sweeper | #OPA,Sweeper | AvgDist,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA Types | SCA,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA Types | GCA,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Performance | CrdY,Performance | CrdR,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Performance | Crs,Performance | Int,Performance | TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Poss
31,2022-04-20,19:45:00,25,Wed,Arsenal,Away,W,4,2,Chelsea,1.8,1.1,32249,Martin Odegaard,4-2-3-1,Jonathan Moss,4,13,3,23.1,0.23,1.0,19.5,0,1,1,1.8,1.5,0.12,2.2,1.5,2,2,0,0.0,0,0.5,-1.5,0,0,0,0,4,15,26.7,17,2,52.9,42.3,8,75.0,57.4,16,0,0.0,4,17.3,270,362,74.6,4125,1627,146,164,89.0,92,111,82.9,18,47,38.3,1,1.0,0.4,9,22,6,1,20,362,325,33,5,1,3,8,16,1,1,0,0,270,4,12,20,14,0,4,1,1,0,4,3,0,0,0,1,0,20,9,9,8,3,6,14,42.9,8,19,4,15,15,35,26,1,491,67,180,190,126,23,490,7,18,38.9,11,12,265,20,1,0,0,6,7,4,8,15,9,1,0,0,59,14,14,50.0,33
32,2022-04-23,12:30:00,34,Sat,Arsenal,Home,W,3,1,Manchester Utd,2.4,2.1,60223,Martin Odegaard,4-2-3-1,Craig Pawson,3,13,6,46.2,0.15,0.33,19.3,1,1,1,2.4,2.0,0.16,0.6,0.0,5,1,4,80.0,0,2.0,1.0,1,0,0,1,1,19,5.3,39,5,30.8,30.1,8,87.5,62.8,14,1,7.1,1,15.0,451,538,83.8,7472,2142,213,230,92.6,207,225,92.0,25,64,39.1,1,1.0,0.7,8,28,12,3,30,538,501,35,11,1,3,11,13,1,1,0,0,451,2,7,24,15,1,1,4,3,0,5,3,0,0,1,1,0,10,7,6,2,2,4,9,44.4,5,7,3,4,7,17,17,1,629,71,194,292,143,18,628,4,9,44.4,11,8,449,30,3,0,0,9,12,2,11,7,7,1,1,0,42,5,15,25.0,54
33,2022-05-01,16:30:00,35,Sun,Arsenal,Away,W,2,1,West Ham,0.9,0.6,59959,Martin Odegaard,4-2-3-1,Mike Dean,2,13,7,53.8,0.15,0.29,19.3,0,0,0,0.9,0.9,0.07,1.1,1.1,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,3,12,25.0,16,4,50.0,39.5,6,66.7,50.2,18,0,0.0,0,3.0,396,482,82.2,6058,2104,218,234,93.2,147,168,87.5,19,57,33.3,2,0.9,0.6,12,20,2,1,10,482,448,34,8,1,2,13,11,7,7,0,0,396,0,8,23,17,2,1,1,0,2,4,1,2,0,1,0,0,16,9,7,7,2,8,13,61.5,5,11,4,7,10,26,27,0,593,68,199,294,107,18,593,10,15,66.7,17,6,390,10,2,0,0,9,6,0,13,10,9,0,0,0,53,18,14,56.3,43
34,2022-05-08,14:00:00,36,Sun,Arsenal,Home,W,2,1,Leeds United,2.5,0.5,60108,Martin Odegaard,4-2-3-1,Chris Kavanagh,2,19,9,47.4,0.11,0.22,14.3,2,0,0,2.5,2.5,0.14,-0.5,-0.5,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,6,33.3,24,4,20.8,29.8,1,100.0,71.0,7,0,0.0,0,0.0,596,682,87.4,11118,3055,227,242,93.8,313,343,91.3,51,75,68.0,1,1.7,1.2,12,75,13,3,37,682,628,53,12,2,5,26,30,8,7,0,1,596,1,9,33,18,5,5,1,4,0,2,1,0,1,0,0,0,16,10,3,8,5,9,11,81.8,2,6,1,5,5,21,10,0,766,26,109,383,281,35,766,15,27,55.6,13,12,592,37,2,0,0,13,14,1,26,5,10,0,0,0,50,7,8,46.7,64
35,2022-05-12,19:45:00,22,Thu,Arsenal,Away,L,0,3,Tottenham,0.6,3.0,62027,Martin Odegaard,4-3-3,Paul Tierney,0,9,5,55.6,0.0,0.0,24.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6,6,3,3,66.7,0,2.5,-0.5,1,1,0,0,5,21,23.8,33,2,42.4,37.8,7,100.0,67.0,8,0,0.0,0,10.0,368,443,83.1,6076,1560,176,193,91.2,168,188,89.4,18,47,38.3,0,0.6,0.3,9,23,2,0,10,443,405,38,9,0,1,13,16,2,2,0,0,368,0,5,18,16,0,1,0,0,1,0,0,0,0,0,0,0,6,2,6,0,0,1,6,16.7,5,8,4,4,9,15,11,0,512,64,177,200,139,15,512,8,20,40.0,10,4,362,10,5,1,1,15,8,0,13,9,2,0,1,0,30,9,9,50.0,43
36,2022-05-16,20:00:00,37,Mon,Arsenal,Away,L,0,2,Newcastle Utd,0.7,1.7,52274,Martin Odegaard,4-2-3-1,Darren England,0,11,2,18.2,0.0,0.0,21.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,4,2,3,50.0,0,2.4,1.4,0,0,0,0,4,22,18.2,30,5,43.3,38.4,9,100.0,66.7,27,1,3.7,1,7.1,280,366,76.5,4856,1692,127,135,94.1,119,140,85.0,25,64,39.1,0,0.6,0.6,8,26,3,1,26,366,314,51,17,1,3,15,13,8,5,0,0,280,1,11,18,12,2,1,2,0,1,0,0,0,0,0,0,0,15,8,10,4,1,5,18,27.8,13,9,5,4,4,19,29,0,461,67,166,195,102,15,461,4,12,33.3,15,9,275,24,3,0,0,8,11,1,15,4,8,0,0,1,29,9,18,33.3,49
37,2022-05-22,16:00:00,38,Sun,Arsenal,Home,W,5,1,Everton,4.1,1.1,60201,Martin Odegaard,4-2-3-1,Andre Marriner,5,25,8,32.0,0.16,0.5,17.0,1,1,1,4.1,3.4,0.14,0.9,0.6,2,1,1,50.0,0,1.0,0.0,0,0,0,0,1,4,25.0,19,2,21.1,26.9,5,0.0,16.0,6,0,0.0,3,17.2,601,688,87.4,10764,3089,231,254,90.9,325,353,92.1,39,63,61.9,4,2.0,1.5,18,75,10,1,47,688,647,39,8,1,3,25,12,12,8,0,0,601,2,10,40,29,4,3,4,0,0,7,3,2,0,2,0,0,12,6,8,2,2,4,12,33.3,8,9,1,8,5,17,12,0,790,48,167,349,274,42,789,7,17,41.2,7,11,598,47,0,0,0,8,7,2,25,5,6,0,0,0,51,8,15,34.8,73
0,2021-08-14,12:30:00,1,Sat,Manchester Utd,Home,W,5,1,Leeds United,2.5,0.6,72732,Harry Maguire,4-2-3-1,Paul Tierney,5,16,8,50.0,0.31,0.63,18.2,0,0,0,2.5,2.5,0.16,2.5,2.5,3,1,2,66.7,0,1.0,0.0,0,0,0,0,7,11,63.6,24,3,8.3,20.8,12,75.0,42.5,12,0,0.0,0,12.0,363,465,78.1,6148,2591,166,197,84.3,146,172,84.9,38,65,58.5,5,2.4,1.0,14,29,9,0,31,465,406,57,11,10,5,11,27,5,2,3,0,363,2,10,26,24,1,1,0,0,0,10,10,0,0,0,0,0,6,4,1,5,0,3,12,25.0,9,11,1,10,8,14,16,0,563,60,166,280,124,20,563,12,24,50.0,20,11,357,28,1,0,0,11,9,2,11,8,4,0,0,0,51,11,9,55.0,49
1,2021-08-22,14:00:00,2,Sun,Manchester Utd,Away,D,1,1,Southampton,1.8,0.7,32000,Harry Maguire,4-2-3-1,Craig Pawson,1,15,3,20.0,0.07,0.33,15.1,1,0,0,1.8,1.8,0.13,-0.8,-0.8,3,1,3,66.7,0,0.6,0.6,0,0,0,0,0,1,0.0,14,3,7.1,23.1,5,0.0,18.0,12,0,0.0,0,4.0,442,562,78.6,6808,2275,231,267,86.5,156,189,82.5,31,57,54.4,1,1.4,1.4,11,27,11,2,29,562,517,43,11,1,3,19,18,7,4,3,0,442,2,9,28,17,3,1,2,5,0,2,2,0,0,0,0,0,19,10,11,7,1,10,19,52.6,9,7,1,6,6,25,12,1,661,44,194,312,162,27,661,11,15,73.3,12,19,434,28,3,0,0,10,12,2,19,6,10,0,0,1,61,15,11,57.7,63
2,2021-08-29,16:30:00,3,Sun,Manchester Utd,Away,W,1,0,Wolves,0.7,2.5,30621,Harry Maguire,4-2-3-1,Mike Dean,1,10,3,30.0,0.1,0.33,18.8,1,0,0,0.7,0.7,0.07,0.3,0.3,5,0,5,100.0,1,1.2,1.2,0,0,0,0,2,4,50.0,11,4,27.3,27.5,8,12.5,24.6,15,0,0.0,2,29.0,498,592,84.1,8422,2656,235,259,90.7,198,221,89.6,45,76,59.2,1,0.6,0.7,7,32,8,0,38,592,547,41,11,5,7,18,14,7,3,4,0,498,4,7,17,11,1,1,2,1,1,1,1,0,0,0,0,0,8,5,4,3,1,4,18,22.2,14,11,4,7,13,21,18,1,676,56,181,355,144,23,676,4,7,57.1,11,13,492,37,4,0,0,9,7,4,18,13,5,0,0,0,54,11,15,42.3,56
3,2021-09-11,15:00:00,4,Sat,Manchester Utd,Home,W,4,1,Newcastle Utd,2.6,0.7,72732,Harry Maguire,4-2-3-1,Anthony Taylor,4,21,6,28.6,0.19,0.67,20.5,0,0,0,2.6,2.6,0.13,1.4,1.4,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,1,1,100.0,5,2,20.0,25.0,7,0.0,15.9,9,0,0.0,1,15.5,602,686,87.8,10168,2721,294,327,89.9,245,263,93.2,50,66,75.8,3,1.6,0.9,17,64,10,0,38,686,648,37,5,1,6,23,16,7,1,6,0,602,1,9,38,28,4,1,3,0,2,7,6,0,0,1,0,0,19,11,12,4,3,8,20,40.0,12,12,3,9,4,23,11,2,791,36,110,367,319,38,791,7,16,43.8,15,8,596,38,1,0,0,9,2,1,23,4,11,0,0,0,47,7,6,53.8,63
4,2021-09-19,14:00:00,5,Sun,Manchester Utd,Away,W,2,1,West Ham,2.0,1.7,60000,Harry Maguire,4-2-3-1,Martin Atkinson,2,17,10,58.8,0.12,0.2,17.1,0,0,0,2.0,2.0,0.13,0.0,0.0,4,1,2,75.0,0,1.6,0.6,1,0,1,0,2,2,100.0,17,6,11.8,22.6,7,0.0,14.3,16,1,6.3,0,12.3,586,675,86.8,8397,2772,327,346,94.5,186,220,84.5,30,46,65.2,1,1.5,1.0,16,48,7,1,32,675,636,39,7,4,5,33,12,11,7,4,0,586,0,10,32,27,3,1,1,0,0,3,2,0,0,1,0,0,14,9,5,5,4,3,17,17.6,14,13,4,9,2,16,19,1,774,55,155,383,242,29,774,19,24,79.2,19,9,582,32,0,0,0,8,5,0,33,2,9,0,1,0,45,9,12,42.9,60
5,2021-09-25,12:30:00,6,Sat,Manchester Utd,Home,L,0,1,Aston Villa,2.5,1.2,72922,Harry Maguire,4-2-3-1,Mike Dean,0,27,4,14.8,0.0,0.0,19.7,2,0,1,2.5,1.7,0.06,-2.5,-1.7,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,2,3,66.7,19,2,15.8,28.6,5,0.0,20.0,18,0,0.0,1,18.5,346,461,75.1,6843,2618,152,180,84.4,129,165,78.2,58,79,73.4,0,1.4,0.8,21,28,7,3,33,461,407,52,13,6,15,21,27,5,0,2,0,346,2,15,48,32,3,6,3,3,1,0,0,0,0,0,0,0,12,8,6,5,1,8,14,57.1,6,4,1,3,9,21,21,1,569,54,208,212,155,33,568,16,20,80.0,12,5,337,33,2,0,0,9,11,2,21,9,8,0,0,0,53,19,11,63.3,59
6,2021-10-02,12:30:00,7,Sat,Manchester Utd,Home,D,1,1,Everton,1.1,1.4,73128,Bruno Fernandes,4-2-3-1,Michael Oliver,1,13,6,46.2,0.08,0.17,15.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1,2,1,1,50.0,0,1.0,0.0,0,0,0,0,0,1,0.0,12,1,8.3,25.3,7,0.0,20.7,11,0,0.0,2,20.0,647,763,84.8,11057,3314,301,331,90.9,267,296,90.2,54,80,67.5,1,1.1,1.1,13,59,18,4,42,763,700,61,10,1,6,28,32,10,0,9,0,647,2,16,25,20,3,2,0,0,0,2,2,0,0,0,0,0,7,3,4,3,0,5,11,45.5,6,10,4,6,6,13,15,0,853,42,188,363,305,26,853,11,24,45.8,10,7,644,42,1,0,0,10,9,2,28,6,3,0,0,0,46,13,18,41.9,72
7,2021-10-16,15:00:00,8,Sat,Manchester Utd,Away,L,2,4,Leicester City,1.5,3.1,32219,Harry Maguire,4-2-3-1,Craig Pawson,2,18,6,33.3,0.11,0.33,21.0,0,0,0,1.5,1.5,0.08,0.5,0.5,11,4,7,63.6,0,3.7,-0.3,0,0,0,0,2,8,25.0,20,6,30.0,31.7,12,16.7,25.4,7,0,0.0,0,15.0,467,555,84.1,7973,2589,239,258,92.6,170,189,89.9,49,75,65.3,2,1.4,0.8,16,39,7,2,32,555,513,39,7,3,7,17,12,3,3,0,0,467,3,11,33,28,3,1,1,0,0,4,4,0,0,0,0,0,14,8,5,7,2,11,17,64.7,6,13,5,8,9,23,12,1,662,77,201,290,174,18,662,6,14,42.9,17,4,459,32,3,0,0,17,5,3,17,9,8,0,0,0,59,8,11,42.1,51
8,2021-10-24,16:30:00,9,Sun,Manchester Utd,Home,L,0,5,Liverpool,1.7,3.2,73088,Harry Maguire,4-2-3-1,Anthony Taylor,0,12,3,25.0,0.0,0.0,15.5,0,0,0,1.7,1.7,0.14,-1.7,-1.7,8,5,3,37.5,0,4.4,-0.6,0,0,0,0,2,6,33.3,13,3,23.1,31.5,8,37.5,30.5,8,1,12.5,1,14.0,354,453,78.1,6224,2165,153,173,88.4,157,183,85.8,35,64,54.7,0,1.7,1.2,12,23,6,0,28,453,404,42,9,1,4,21,13,6,1,4,0,354,7,12,24,18,4,1,1,0,0,0,0,0,0,0,0,0,5,3,3,2,0,2,4,50.0,2,9,6,3,11,16,13,1,522,65,194,219,114,19,522,12,15,80.0,8,8,350,26,6,1,0,10,8,7,21,11,3,0,0,0,53,13,9,59.1,38
9,2021-10-30,17:30:00,10,Sat,Manchester Utd,Away,W,3,0,Tottenham,1.1,0.9,60356,Harry Maguire,3-5-2,Stuart Attwell,3,10,4,40.0,0.3,0.75,17.9,0,0,0,1.1,1.1,0.11,1.9,1.9,0,0,0,0.0,1,0.0,0.0,0,0,0,0,3,10,30.0,20,3,30.0,31.3,6,66.7,46.3,20,1,5.0,1,18.7,360,450,80.0,5956,2069,173,198,87.4,131,151,86.8,35,64,54.7,3,1.1,1.8,9,25,6,2,19,450,408,41,16,2,8,8,17,1,0,1,0,360,1,10,19,16,0,2,1,0,0,6,5,0,1,0,0,0,17,12,8,6,3,12,31,38.7,19,16,3,13,7,24,33,0,561,70,200,249,117,19,561,8,12,66.7,14,15,355,19,3,0,0,14,12,1,8,7,12,0,0,0,52,12,17,41.4,42
10,2021-11-06,12:30:00,11,Sat,Manchester Utd,Home,L,0,2,Manchester City,0.8,2.3,73086,Harry Maguire,3-5-2,Michael Oliver,0,5,1,20.0,0.0,0.0,17.3,0,0,0,0.8,0.8,0.16,-0.8,-0.8,5,2,4,60.0,0,0.5,-0.5,0,0,0,0,3,9,33.3,9,2,33.3,37.2,11,54.5,48.2,15,0,0.0,0,7.0,342,429,79.7,5909,1765,161,180,89.4,141,163,86.5,32,57,56.1,0,0.2,0.2,3,20,1,1,11,429,383,42,13,0,5,9,14,1,0,1,0,342,4,13,7,4,1,0,1,1,0,0,0,0,0,0,0,0,18,11,13,5,0,8,19,42.1,11,10,3,7,6,24,23,1,523,73,224,219,86,4,523,4,10,40.0,10,6,340,11,1,0,0,9,12,4,9,6,11,0,0,1,42,9,10,47.4,33
11,2021-11-20,15:00:00,12,Sat,Manchester Utd,Away,L,1,4,Watford,1.7,3.2,21087,Harry Maguire,4-2-3-1,Jonathan Moss,1,9,3,33.3,0.11,0.33,14.9,0,0,0,1.7,1.7,0.19,-0.7,-0.7,7,4,2,42.9,0,2.6,-1.4,1,0,1,0,3,10,30.0,16,2,31.3,30.3,11,45.5,38.1,15,0,0.0,1,17.0,465,590,78.8,7458,2633,256,293,87.4,156,193,80.8,40,69,58.0,1,1.6,1.5,8,25,9,3,25,590,541,45,8,3,7,12,19,3,2,1,0,465,4,6,16,14,0,2,0,0,0,2,2,0,0,0,0,0,13,8,11,1,1,7,11,63.6,4,13,7,6,7,20,18,2,688,79,314,299,85,19,688,11,20,55.0,12,13,458,24,3,1,1,5,7,4,12,7,8,0,1,0,62,20,15,57.1,61
12,2021-11-28,16:30:00,13,Sun,Manchester Utd,Away,D,1,1,Chelsea,0.7,3.1,40041,Bruno Fernandes,4-3-1-2,Anthony Taylor,1,3,2,66.7,0.33,0.5,20.7,0,0,0,0.7,0.7,0.23,0.3,0.3,6,1,5,100.0,0,2.4,1.4,1,1,0,0,3,18,16.7,15,2,53.3,41.5,14,71.4,50.6,31,0,0.0,2,15.0,251,346,72.5,4039,1427,128,155,82.6,93,110,84.5,20,61,32.8,0,0.0,0.3,1,12,0,0,7,346,295,50,15,2,2,8,17,2,0,2,0,251,1,8,4,3,0,1,0,0,0,2,1,0,1,0,0,0,21,15,13,6,2,11,19,57.9,8,20,8,12,9,30,38,1,480,98,225,183,77,6,480,9,19,47.4,20,6,248,7,5,0,0,14,13,1,8,9,15,0,1,0,56,11,11,50.0,35
13,2021-12-02,20:15:00,14,Thu,Manchester Utd,Home,W,3,2,Arsenal,1.9,1.7,73123,Harry Maguire,4-2-3-1,Martin Atkinson,3,13,9,69.2,0.15,0.22,19.7,0,1,1,1.9,1.2,0.09,1.1,0.8,7,2,5,71.4,0,1.7,-0.3,0,0,0,0,4,10,40.0,14,2,42.9,38.3,7,57.1,41.9,16,0,0.0,0,18.0,369,461,80.0,6397,2178,169,199,84.9,155,188,82.4,32,55,58.2,2,1.2,0.8,13,40,9,1,32,461,422,39,10,0,4,12,16,3,1,1,0,369,0,1,27,23,1,2,0,1,0,6,5,0,0,0,1,0,18,13,14,2,2,5,19,26.3,14,12,4,8,9,27,19,1,563,57,184,228,158,18,562,4,9,44.4,11,5,366,32,1,0,0,9,10,0,12,9,13,1,0,0,55,22,16,57.9,44
14,2021-12-05,14:00:00,15,Sun,Manchester Utd,Home,W,1,0,Crystal Palace,1.1,0.6,73172,Harry Maguire,4-2-2-2,Craig Pawson,1,16,3,18.8,0.06,0.33,19.2,2,0,0,1.1,1.1,0.07,-0.1,-0.1,2,0,2,100.0,1,1.0,1.0,0,0,0,0,5,5,100.0,15,4,33.3,28.8,4,0.0,15.5,12,0,0.0,0,1.0,474,587,80.7,8305,2895,221,255,86.7,189,217,87.1,52,81,64.2,1,1.1,1.1,14,53,11,3,38,587,533,51,7,1,4,20,30,9,5,2,0,474,3,8,31,25,2,1,0,3,0,2,2,0,0,0,0,0,24,11,17,4,3,4,10,40.0,6,8,3,5,8,32,14,0,701,36,159,302,246,33,701,5,14,35.7,14,14,469,38,2,0,0,16,9,3,20,8,11,0,0,0,60,17,21,44.7,61
15,2021-12-11,17:30:00,16,Sat,Manchester Utd,Away,W,1,0,Norwich City,2.1,1.3,27606,Harry Maguire,4-2-2-2,Darren England,1,12,4,33.3,0.0,0.0,19.2,2,1,1,2.1,1.3,0.11,-1.1,-1.3,5,0,5,100.0,1,0.8,0.8,0,0,0,0,3,6,50.0,17,8,23.5,21.9,6,33.3,31.3,21,1,4.8,0,7.0,435,542,80.3,7244,2620,219,255,85.9,172,205,83.9,38,62,61.3,0,1.0,1.4,8,48,12,3,38,542,507,34,3,1,1,14,18,6,5,0,0,435,1,6,26,21,0,2,0,3,0,2,1,0,0,0,1,0,21,10,11,5,5,6,14,42.9,8,14,5,9,8,29,21,0,658,56,176,322,168,25,657,9,15,60.0,17,3,432,37,1,0,0,17,6,1,14,8,10,1,0,0,61,21,15,58.3,52
16,2021-12-27,20:00:00,19,Mon,Manchester Utd,Away,D,1,1,Newcastle Utd,1.8,1.2,52178,Harry Maguire,4-2-2-2,Craig Pawson,1,13,3,23.1,0.08,0.33,17.9,0,0,0,1.8,1.8,0.14,-0.8,-0.8,8,1,7,87.5,0,2.3,1.3,0,0,0,0,2,8,25.0,13,3,15.4,26.3,7,85.7,58.7,8,1,12.5,0,7.0,495,627,78.9,8765,2746,230,268,85.8,223,254,87.8,40,81,49.4,0,1.4,1.1,11,43,6,2,47,627,567,57,13,2,7,23,32,3,2,1,0,495,3,11,25,15,4,2,2,2,0,1,0,0,0,1,0,0,17,10,8,9,0,8,20,40.0,12,9,2,7,10,27,19,0,727,50,166,418,151,17,727,11,25,44.0,15,4,491,46,3,0,0,8,11,3,23,10,10,0,0,0,57,16,9,64.0,68
17,2021-12-30,20:15:00,20,Thu,Manchester Utd,Home,W,3,1,Burnley,2.3,1.0,73121,Harry Maguire,4-2-2-2,Jonathan Moss,2,18,6,33.3,0.11,0.33,17.5,1,0,0,2.3,2.3,0.13,-0.3,-0.3,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,4,23,17.4,21,3,71.4,49.2,8,100.0,64.0,16,0,0.0,0,5.0,404,535,75.5,6895,2217,209,239,87.4,146,173,84.4,39,83,47.0,1,1.3,1.2,13,25,13,5,31,535,483,50,13,2,6,26,20,7,3,3,0,404,2,13,34,31,0,1,1,1,0,3,2,0,0,1,0,0,8,5,4,3,1,4,5,80.0,1,7,3,4,5,13,18,0,616,45,198,266,158,28,616,6,9,66.7,9,11,399,30,0,0,0,5,10,2,26,5,5,0,0,0,43,21,25,45.7,57
18,2022-01-03,17:30:00,21,Mon,Manchester Utd,Home,L,0,1,Wolves,0.9,1.1,73045,Cristiano Ronaldo,4-2-2-2,Mike Dean,0,9,2,22.2,0.0,0.0,20.8,1,0,0,0.9,0.9,0.1,-0.9,-0.9,6,1,5,83.3,0,1.1,0.1,0,0,0,0,8,16,50.0,19,5,42.1,37.8,13,61.5,48.2,16,1,6.3,2,17.7,422,539,78.3,7174,2680,205,240,85.4,154,179,86.0,44,76,57.9,0,0.8,0.2,7,34,3,2,27,539,487,50,9,0,3,21,23,3,0,3,0,422,2,11,16,13,1,1,0,1,0,0,0,0,0,0,0,0,17,10,9,6,2,12,24,50.0,12,16,6,10,12,29,15,0,635,63,177,307,158,15,635,14,20,70.0,13,7,420,26,3,0,0,9,8,2,21,12,10,0,0,0,50,13,12,52.0,51
19,2022-01-15,17:30:00,22,Sat,Manchester Utd,Away,D,2,2,Aston Villa,1.3,1.8,41968,Bruno Fernandes,4-3-3,David Coote,2,13,6,46.2,0.15,0.33,17.5,1,0,0,1.3,1.3,0.1,0.7,0.7,9,2,7,77.8,0,2.2,0.2,0,0,0,0,2,9,22.2,17,4,41.2,37.9,7,28.6,29.6,16,0,0.0,0,6.0,399,492,81.1,7101,1960,159,177,89.8,180,201,89.6,40,75,53.3,2,0.8,0.3,8,13,5,2,18,492,444,47,8,0,8,13,23,6,4,1,0,399,1,8,19,12,1,1,1,2,2,4,1,1,0,0,1,1,23,11,13,8,2,6,19,31.6,13,8,0,8,15,38,19,0,610,64,203,308,101,15,610,7,12,58.3,16,12,395,18,2,0,0,13,8,1,13,15,11,0,0,0,56,12,14,46.2,46
20,2022-01-19,20:00:00,17,Wed,Manchester Utd,Away,W,3,1,Brentford,2.2,2.5,17094,Bruno Fernandes,4-2-3-1,Andre Marriner,3,13,5,38.5,0.23,0.6,17.8,0,0,0,2.2,2.2,0.17,0.8,0.8,9,1,8,88.9,0,3.2,2.2,0,0,0,0,5,18,27.8,22,5,63.6,40.5,4,100.0,51.8,16,0,0.0,0,4.0,427,559,76.4,6944,2412,214,256,83.6,161,189,85.2,34,77,44.2,3,2.1,1.2,9,40,9,1,30,559,526,33,10,3,2,27,8,9,4,4,0,427,0,8,23,17,1,4,0,1,0,6,6,0,0,0,0,0,19,12,13,4,2,6,11,54.5,5,12,5,7,12,31,34,0,680,74,194,322,169,24,680,14,23,60.9,12,8,419,29,0,0,0,9,6,0,27,12,12,0,0,0,71,31,17,64.6,56
21,2022-01-22,15:00:00,23,Sat,Manchester Utd,Home,W,1,0,West Ham,1.9,0.4,73130,Harry Maguire,4-2-3-1,Jonathan Moss,1,18,3,16.7,0.06,0.33,18.3,1,0,0,1.9,1.9,0.11,-0.9,-0.9,1,0,1,100.0,1,0.0,0.0,0,0,0,0,2,6,33.3,18,3,27.8,28.7,7,14.3,24.4,10,0,0.0,0,10.0,479,597,80.2,8693,2904,203,229,88.6,229,271,84.5,42,78,53.8,1,1.7,1.2,15,51,12,1,37,597,549,44,8,1,5,17,25,3,0,3,0,479,4,5,32,28,1,1,1,1,0,2,2,0,0,0,0,0,17,11,9,7,1,9,18,50.0,9,9,2,7,4,21,17,0,697,52,200,338,167,26,697,10,13,76.9,18,6,472,36,1,0,0,9,8,4,17,4,11,0,0,0,52,20,15,57.1,57
22,2022-02-08,20:00:00,24,Tue,Manchester Utd,Away,D,1,1,Burnley,2.4,0.5,21233,Harry Maguire,4-2-3-1,Mike Dean,1,22,5,22.7,0.05,0.2,15.9,0,0,0,2.4,2.4,0.11,-1.4,-1.4,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,4,12,33.3,16,4,43.8,38.9,6,83.3,54.3,11,0,0.0,0,7.5,453,574,78.9,7844,2553,214,260,82.3,171,202,84.7,53,83,63.9,1,1.7,1.5,18,31,13,2,35,574,515,58,12,2,4,23,28,10,1,2,0,453,1,6,38,27,2,3,4,0,2,2,2,0,0,0,0,0,15,11,6,7,2,5,12,41.7,7,7,1,6,1,16,16,0,680,44,140,328,215,38,680,4,15,26.7,17,14,446,35,1,0,0,10,10,1,23,1,11,0,0,0,53,22,11,66.7,63
